player,position,team,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,bonus,xg,xa,xgi,influence,creativity,threat,ict_index,total_points,value
Jarrod Bowen,MID,19,3020,16,6,5,2,0,14,11.96,4.9,16.86,890.4,463.8,1130.0,247.8,182,23.9
Maxwel Cornet,MID,19,109,1,0,0,0,0,0,0.4,0.02,0.42,44.0,48.4,54.0,14.6,13,2.5
Vladimír Coufal,DEF,19,3135,0,7,4,5,1,9,0.35,3.01,3.36,661.6,500.0,92.0,125.6,85,18.9
Aaron Cresswell,DEF,19,431,0,0,0,1,0,0,0.0,0.44,0.44,58.8,77.2,2.0,13.9,10,2.4
Emerson Palmieri dos Santos,DEF,19,3138,1,4,5,10,0,8,1.64,2.07,3.71,649.0,400.2,168.0,121.8,82,19.1
Lukasz Fabianski,GK,19,721,0,0,1,0,0,1,0.0,0.0,0.0,245.6,0.0,0.0,24.6,24,5.7
Pablo Fornals Malla,MID,19,418,0,0,1,0,0,0,0.31,0.34,0.65,64.2,75.5,79.0,21.9,19,4.1
Danny Ings,FWD,19,389,1,2,0,1,0,4,1.18,0.26,1.44,82.4,64.4,125.0,27.1,36,6.5
Ben Johnson,DEF,19,538,0,0,1,1,0,0,0.25,0.11,0.36,84.6,22.5,38.0,14.7,17,3.9
Lucas Tolentino Coelho de Lima,MID,19,2627,4,6,4,10,0,7,5.19,4.93,10.12,570.6,722.3,343.0,163.7,100,16.7
Tomáš Souček,MID,19,2867,7,2,5,7,0,9,6.69,1.14,7.83,751.6,262.5,488.0,150.3,116,23.7
Kurt Zouma,DEF,19,2838,3,0,3,3,0,6,1.9,0.07,1.97,636.8,55.1,227.0,92.0,76,16.9
Angelo Ogbonna,DEF,19,634,0,0,2,1,0,0,0.04,0.06,0.1,131.0,2.2,10.0,14.4,19,4.5
Edson Álvarez Velázquez,MID,19,2375,1,1,5,11,0,3,1.37,0.81,2.18,545.8,193.1,89.0,82.7,62,12.4
James Ward-Prowse,MID,19,3000,7,7,5,4,0,19,6.23,6.3,12.53,831.0,1023.5,324.0,217.5,146,25.6
Konstantinos Mavropanos,DEF,19,1500,1,0,3,2,0,3,1.19,0.09,1.28,300.2,41.9,112.0,45.3,40,8.9
Mohammed Kudus,MID,19,2485,8,9,3,6,0,13,5.06,3.48,8.54,667.2,472.9,566.0,170.8,137,20.4
Tommy Doyle,MID,20,1209,0,0,3,2,0,0,0.42,0.87,1.29,198.4,173.7,55.0,42.7,38,8.6
Rayan Aït-Nouri,DEF,20,2327,2,3,3,7,0,6,3.12,1.81,4.93,448.4,376.9,253.0,107.7,77,16.7
Daniel Bentley,GK,20,382,0,0,2,0,0,1,0.0,0.0,0.0,70.8,0.0,0.0,7.1,18,4.6
Hugo Bueno López,DEF,20,727,0,0,2,1,0,0,0.31,0.68,0.99,139.4,122.1,30.0,29.0,29,6.6
Craig Dawson,DEF,20,2209,1,1,6,7,0,6,1.58,0.42,2.0,611.8,108.6,222.0,94.4,69,15.3
Fábio Silva,FWD,20,259,0,0,1,2,0,0,1.12,0.09,1.21,25.2,51.6,93.0,16.9,8,1.5
Hwang Hee-chan,MID,20,2116,12,3,3,6,0,10,7.53,2.84,10.37,534.2,259.9,614.0,140.7,125,23.1
João Victor Gomes da Silva,MID,20,2646,2,2,4,11,0,3,1.82,1.76,3.58,493.2,372.3,196.0,106.1,75,15.3
Sasa Kalajdzic,FWD,20,158,2,0,1,0,0,4,1.01,0.26,1.27,94.0,48.7,66.0,20.7,24,4.9
Max Kilman,DEF,20,3420,2,0,5,7,0,3,1.78,1.12,2.9,853.6,233.1,212.0,130.2,82,18.6
Mario Lemina,MID,20,2969,4,1,4,10,1,13,4.6,1.26,5.86,621.6,333.6,470.0,142.7,95,19.4
Pedro Lomba Neto,MID,20,1516,2,11,3,4,0,8,3.17,3.69,6.86,371.4,599.2,389.0,135.5,86,15.6
José Malheiro de Sá,GK,20,3037,0,1,4,1,0,8,0.0,0.0,0.0,1003.4,11.0,0.0,101.6,107,21.4
Pablo Sarabia,MID,20,1737,4,7,6,5,0,8,5.52,5.0,10.52,469.2,795.3,418.0,168.4,99,22.0
Nélson Cabral Semedo,DEF,20,3084,0,2,5,10,1,0,0.97,1.69,2.65,508.8,395.7,165.0,107.2,63,14.0
Toti António Gomes,DEF,20,2771,1,4,4,7,0,6,1.62,0.63,2.25,550.0,117.7,167.0,83.7,82,18.6
Boubacar Traoré,MID,20,802,0,0,0,4,0,0,0.28,0.33,0.61,114.4,106.5,27.0,25.2,25,5.8
Matheus Santos Carneiro Da Cunha,FWD,20,2438,12,7,6,9,0,15,9.49,2.97,12.46,786.0,409.8,872.0,206.4,135,24.5
Matt Doherty,DEF,20,1136,1,0,1,2,0,1,0.89,0.86,1.75,237.8,168.1,122.0,52.9,41,9.5
Santiago Bueno,DEF,20,819,0,0,0,1,0,0,0.0,0.01,0.01,173.8,27.1,2.0,20.3,13,2.9
Nathan Fraser,FWD,20,183,0,0,1,1,0,0,0.32,0.06,0.38,22.4,29.2,36.0,8.6,7,1.6
Jean-Ricner Bellegarde,MID,20,948,2,2,0,0,1,1,1.35,0.76,2.11,189.8,170.1,163.0,52.2,45,9.2
Tawanda Chirewa,MID,20,138,0,0,0,1,0,0,0.16,0.07,0.23,22.0,24.7,21.0,6.6,8,1.8
Leon Chiwome,FWD,20,173,0,0,0,0,0,0,0.1,0.02,0.12,7.8,1.2,13.0,2.2,5,1.1
