player,position,team,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,bonus,xg,xa,xgi,influence,creativity,threat,ict_index,total_points,value
Trevoh Chalobah,DEF,6,1969,3,1,6,3,0,11,1.98,0.64,2.62,496.4,124.2,222.0,84.6,93,21.1
Levi Colwill,DEF,6,3150,2,1,10,9,0,6,1.92,1.31,3.23,692.0,214.3,185.0,109.4,109,24.8
Marc Cucurella Saseta,DEF,6,2988,5,2,9,8,1,14,2.79,2.39,5.18,668.6,350.6,358.0,137.9,133,24.6
Kiernan Dewsbury-Hall,MID,6,257,0,1,0,0,0,1,0.22,0.22,0.44,57.4,47.4,21.0,12.6,18,3.3
Enzo Fernández,MID,6,2943,6,8,10,8,0,11,6.23,6.11,12.34,761.6,1131.6,517.0,241.3,135,28.7
Malo Gusto,DEF,6,1853,0,1,4,4,0,2,1.44,1.91,3.35,336.8,394.6,147.0,87.9,60,12.2
Reece James,DEF,6,1057,1,2,3,1,0,5,0.45,1.15,1.6,207.6,202.1,56.0,46.7,54,11.2
Roméo Lavia,MID,6,792,0,1,3,4,0,0,0.25,0.38,0.63,113.2,121.7,7.0,24.4,26,5.8
Noni Madueke,MID,6,2028,7,5,6,3,0,12,9.62,2.86,12.48,479.2,475.1,998.0,195.3,120,20.0
Mykhailo Mudryk,MID,6,145,0,0,0,0,0,0,0.24,0.66,0.9,23.2,31.5,31.0,8.5,7,1.1
Nicolas Jackson,FWD,6,2220,10,6,11,7,1,17,11.68,1.9,13.58,546.4,368.3,976.0,187.4,121,15.7
Christopher Nkunku,MID,6,904,3,2,2,2,0,5,5.11,1.01,6.12,230.2,204.9,339.0,77.1,60,10.5
Cole Palmer,MID,6,3193,15,10,10,7,0,35,16.79,9.53,26.32,1068.2,1259.2,1052.0,338.0,214,20.4
Renato Palma Veiga,MID,6,176,0,0,1,2,0,0,0.16,0.15,0.31,30.4,9.2,19.0,5.9,7,1.6
Robert Sánchez,GK,6,2880,0,0,10,5,0,11,0.0,0.02,0.02,755.6,20.0,0.0,77.5,126,28.0
Tosin Adarabioyo,DEF,6,1403,1,1,7,4,0,7,0.93,0.23,1.16,352.2,48.2,92.0,49.6,71,16.9
Wesley Fofana,DEF,6,1172,0,0,2,7,0,2,0.44,0.18,0.62,200.2,85.0,33.0,31.9,26,6.0
Jadon Sancho,MID,6,1754,3,5,7,2,0,3,2.13,3.1,5.23,340.0,523.2,414.0,127.5,86,13.9
Pedro Lomba Neto,MID,6,2262,4,6,8,8,0,9,3.48,4.47,7.95,492.0,762.7,545.0,180.0,104,17.0
Filip Jørgensen,GK,6,540,0,0,1,0,0,0,0.0,0.0,0.0,157.6,0.0,0.0,15.9,18,4.3
João Félix Sequeira,MID,6,362,1,2,1,2,0,0,2.3,0.45,2.75,88.0,95.4,141.0,32.3,24,4.1
Tyrique George,MID,6,177,1,1,1,1,0,0,0.2,0.26,0.46,67.4,72.7,32.0,17.1,17,3.8
Josh Acheampong,DEF,6,168,0,0,0,1,0,0,0.22,0.01,0.23,13.6,2.5,13.0,2.9,4,1.0
Eddie Nketiah,FWD,7,1018,3,2,2,4,1,4,5.94,0.83,6.77,192.2,163.7,475.0,82.5,53,9.0
Ben Chilwell,DEF,7,254,1,0,0,1,0,0,0.25,0.88,1.13,99.6,69.2,37.0,20.7,13,2.8
Cheick Doucouré,MID,7,443,0,1,1,1,0,0,0.4,0.11,0.51,58.6,25.7,23.0,10.8,19,4.0
Chris Richards,DEF,7,1921,1,1,7,2,1,2,1.33,0.6,1.93,470.8,45.0,181.0,69.6,68,15.5
